read_index,basename,mean_mapq,median_mapq,n_chromosomes,order,n_bins,read_length_bp,genes,n_genes
1796739,batch03,60.0,60.0,1,2,2,1000,Ascc3,1
1796992,batch01,28.0,18.0,4,18,5,3232,Csmd3;Chl1,2
1797144,batch03,40.285714285714285,52.0,3,7,4,1851,Chl1;4921515E04Rik,2
1797393,batch01,60.0,60.0,1,4,2,936,Cnbd1;A530072M11Rik,2
1797548,batch03,60.0,60.0,1,3,2,689,,0
1797759,batch03,59.333333333333336,60.0,1,6,2,1095,Grik2,1
1797973,batch04,60.0,60.0,1,3,2,830,,0
1798114,batch04,38.4,60.0,1,5,4,961,,0
1798127,batch03,60.0,60.0,2,2,2,599,,0
1798214,batch04,52.666666666666664,60.0,1,3,3,884,Csmd3,1
1798599,batch01,60.0,60.0,2,2,2,732,,0
1798708,batch01,60.0,60.0,1,6,2,1655,Lrfn5,1
1798999,batch01,60.0,60.0,1,3,2,767,Lrfn5,1
1799290,batch01,60.0,60.0,1,3,2,813,,0
1799382,batch01,45.0,60.0,2,4,2,1272,,0
1799650,batch01,55.8,60.0,1,5,3,1077,Col19a1,1
1799715,batch04,60.0,60.0,1,2,2,594,Gm38284,1
1799954,batch02,47.5,47.5,2,2,2,547,Epha5,1
1800014,batch04,31.0,31.5,1,4,2,821,,0
1801219,batch03,1.4,0.5,1,10,3,2232,Btbd35f1;Gm2182,2
1801230,batch04,56.0,56.0,1,2,2,507,Cntnap5b,1
1801240,batch03,46.666666666666664,60.0,2,3,2,913,,0
1801848,batch01,21.4,0.0,2,5,4,1022,,0
1801955,batch03,55.0,60.0,1,5,2,1391,,0
1802022,batch04,60.0,60.0,1,3,2,1079,,0
1802408,batch04,37.666666666666664,52.0,1,3,3,1119,Gm26618;Gm36995,2
1802996,batch03,60.0,60.0,2,2,2,620,,0
1803126,batch04,60.0,60.0,1,3,2,850,,0
1803875,batch04,54.6,60.0,1,5,3,1246,,0
1803933,batch03,60.0,60.0,2,2,2,708,,0
1804522,batch03,29.5,29.5,1,2,2,674,,0
1804641,batch04,60.0,60.0,2,4,2,1147,Cpq,1
1804726,batch04,60.0,60.0,2,3,2,864,Gm49128,1
1804928,batch04,60.0,60.0,1,2,2,726,,0
1804947,batch04,22.333333333333332,7.0,2,3,3,1481,Gm10377,1
1804973,batch03,34.0,41.0,2,5,3,770,,0
1805610,batch04,30.5,30.5,2,4,2,965,,0
1805665,batch04,20.333333333333332,1.0,3,6,3,1425,,0
1806443,batch01,60.0,60.0,2,3,3,1154,Ptchd4,1
1806776,batch01,40.5,40.5,2,2,2,608,,0
1806798,batch04,60.0,60.0,1,3,2,847,Nkain3,1
1806999,batch04,38.0,38.0,2,2,2,521,,0
