read_index,basename,mean_mapq,median_mapq,n_chromosomes,order,n_bins,read_length_bp,genes,n_genes
2153904,batch04,13.2,0.5,5,10,5,2309,Dpp6,1
2153916,batch01,32.4,41.0,2,5,3,787,Chl1;Irf8,2
2153953,batch03,54.0,54.0,1,2,2,376,Lhfpl4,1
2153955,batch01,20.0,0.0,1,3,2,897,,0
2154095,batch04,60.0,60.0,1,3,3,765,Lrba,1
2154214,batch01,60.0,60.0,1,3,2,733,Mecom;Bltp1,2
2154226,batch03,60.0,60.0,1,3,2,700,Nrg1,1
2154243,batch03,41.0,51.0,2,3,3,534,Adamts2;St6galnac3,2
2154262,batch04,60.0,60.0,1,5,2,1023,Magi3,1
2154442,batch04,51.0,60.0,1,4,3,689,Rnf150;Frem3,2
2154558,batch04,30.0,30.0,2,2,2,573,,0
2154601,batch01,31.0,32.0,4,4,4,1081,Shank2,1
2155019,batch04,60.0,60.0,2,3,3,820,Brcc3,1
2155331,batch03,52.0,52.0,1,2,2,527,Gpr19;Rassf8,2
2155411,batch03,60.0,60.0,1,2,2,719,Eefsec;Tbxas1,2
2155415,batch04,60.0,60.0,1,2,2,569,Sh2d6;Gm28719,2
2155437,batch04,60.0,60.0,1,3,2,783,Exoc6b;Zfp638,2
2155890,batch04,21.77777777777778,1.0,4,9,4,1881,Lpcat2,1
2156116,batch03,34.75,39.5,2,4,3,728,Sgms2;6820431F20Rik,2
2156160,batch04,53.0,60.0,2,3,3,653,Tmem132b;Caln1;Csmd1,3
2156515,batch01,60.0,60.0,2,2,2,643,,0
2156667,batch03,45.0,60.0,3,4,3,902,,0
2156921,batch01,46.81818181818182,60.0,1,11,3,1895,Gm45740;Gm10649;Nr3c2,3
2157044,batch04,45.0,60.0,2,3,3,594,,0
2157107,batch03,41.0,41.0,1,2,2,446,,0
2157205,batch01,35.5,35.5,2,2,2,752,Wwtr1;Gm2381,2
2157246,batch01,25.0,14.5,3,6,4,888,,0
2157397,batch04,40.333333333333336,60.0,3,3,3,803,Wnk2,1
2157410,batch03,47.75,60.0,1,4,2,940,,0
